item,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CRC,EUR,GBP,HKD,IDR,ILS,INR,JPY,KRW,KWD,KZT,MXN,MYR,NOK,NZD,PEN,PHP,PLN,QAR,RUB,SAR,SGD,THB,TRY,TWD,UAH,USD,UYU,VND,ZAR
coupon - kellybailey_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - kitheory_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - kitheory_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - knifeclub,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - lenniemoore_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - lenniemoore_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - lucky_cat_foil,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - massivepear,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - masterminds_musickit_capsule,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - masterminds_stattrak_musickit_capsule,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - mateomessina_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - mateomessina_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - mattlange_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - mattlange_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - michaelbross_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - michaelbross_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - midnightriders_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - midnightriders_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - mordfustang_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - mordfustang_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - mylittlefriend,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - neckdeep_02,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - neckdeep_02_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - neluthebear,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - newbeatfund_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - newbeatfund_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - ninja_defuse,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - noisia_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - noisia_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - oneshotonekill,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - pandamonium,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - perfectworld_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - perfectworld_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - phoenix_foil,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - pieceofcake,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - pigeonmaster,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - pins_hlalyx,3700,141999,1535,5099,1369,950,950000,6900,4450000,640000,1019,855,7800,15299900,3550,79500,142500,1380000,300,487000,20300,4650,10700,1749,3850,56000,4915,3649,58000,3750,1425,37900,18195,30800,36500,999,40500,22700000,17100
coupon - pins_series_1,3700,141999,1535,5099,1369,950,950000,6900,4450000,640000,1019,855,7800,15299900,3550,79500,142500,1380000,300,487000,20300,4650,10700,1749,3850,56000,4915,3649,58000,3750,1425,37900,18195,30800,36500,999,40500,22700000,17100
coupon - pins_series_2,3700,141999,1535,5099,1369,950,950000,6900,4450000,640000,1019,855,7800,15299900,3550,79500,142500,1380000,300,487000,20300,4650,10700,1749,3850,56000,4915,3649,58000,3750,1425,37900,18195,30800,36500,999,40500,22700000,17100
coupon - pins_series_3,3700,141999,1535,5099,1369,950,950000,6900,4450000,640000,1019,855,7800,15299900,3550,79500,142500,1380000,300,487000,20300,4650,10700,1749,3850,56000,4915,3649,58000,3750,1425,37900,18195,30800,36500,999,40500,22700000,17100
coupon - pinups_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - poorly_drawn_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - pros_dont_fake,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - proxy_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - proxy_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - queenofpain,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - radicals_stattrak_musickit_capsule,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - robertallaire_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - robertallaire_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - robot_head,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - saschicken,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - sasha_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - sasha_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - scarlxrd_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - scarlxrd_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - scarlxrd_02,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - scarlxrd_02_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - seanmurray_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - seanmurray_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - shootingstar,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - skillgroup_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - skog_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - skog_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - skog_02,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - skog_02_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - slid3_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - spring2022_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - stayfrosty,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - sugarface_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - tacticians_musickit_capsule,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - tacticians_stattrak_musickit_capsule,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - team_roles_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - terrorized,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - theverkkars_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - theverkkars_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - theverkkars_02,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - theverkkars_02_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - thuglife,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - tilldeathdouspart,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - toncat,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - trekt,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - trickorthreat,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - trickortreat,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - troelsfolmann_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - troelsfolmann_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - wanna_fight,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - warhammer_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - warowl,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - warpenguin,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - windywalking,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - witch,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - witchcraft,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - workforfood,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - zombielover,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
crate_community_10 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
crate_stattrak_swap_tool,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
gamma_2 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
subscription1,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
